codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A803,27/05/2018,18,26.8,27.2,26.2,,,,,,,1007.0,1007.6,1007.0,1.4,123,3.1,1588.,0.0
A803,27/05/2018,19,26.4,26.9,26.4,,,,,,,1006.7,1007.1,1006.7,1.3,134,3.1,1091.,0.0
A803,27/05/2018,20,24.8,26.5,24.8,,,,,,,1006.6,1006.7,1006.6,1.1,124,3.3,493.9,0.0
A803,27/05/2018,21,22.2,24.8,22.2,,,,,,,1006.8,1006.8,1006.6,0.8,93,2.5,29.50,0.0
A803,27/05/2018,22,20.7,22.2,20.7,,,,,,,1007.1,1007.1,1006.8,1.7,90,3.4,-3.54,0.0
A803,27/05/2018,00,15.1,15.4,14.5,,,,,,,1006.6,1006.8,1006.6,1.9,74,2.9,-3.53,0.0
A803,27/05/2018,23,19.7,20.7,19.6,,,,,,,1007.6,1007.6,1007.1,1.6,71,3.0,-3.54,0.0
A803,27/05/2018,01,14.4,15.5,14.3,,,,,,,1006.6,1006.8,1006.6,1.4,121,3.1,-3.54,0.0
A803,27/05/2018,02,14.0,15.1,13.9,,,,,,,1007.0,1007.0,1006.6,0.3,102,3.2,-3.54,0.0
A803,27/05/2018,03,13.9,14.2,13.3,,,,,,,1006.9,1007.0,1006.8,1.0,105,2.2,-3.54,0.0
A803,27/05/2018,04,14.1,14.2,13.3,,,,,,,1006.8,1007.0,1006.7,1.5,107,3.6,-3.52,0.2
A803,27/05/2018,05,13.2,14.2,13.2,,,,,,,1006.9,1007.0,1006.8,1.2,100,3.6,-3.28,0.0
A803,27/05/2018,06,12.7,13.2,12.4,,,,,,,1006.6,1006.9,1006.6,0.6,145,2.8,-3.08,0.0
A803,27/05/2018,07,13.9,13.9,12.6,,,,,,,1006.4,1006.6,1006.3,1.9,109,3.5,23.47,0.0
A803,27/05/2018,08,13.9,14.1,13.7,,,,,,,1006.4,1006.5,1006.2,0.8,209,3.5,34.82,0.0
A803,27/05/2018,09,15.0,15.0,13.8,,,,,,,1007.1,1007.1,1006.4,2.4,79,3.9,16.98,0.0
A803,27/05/2018,10,15.3,15.4,14.6,,,,,,,1007.9,1007.9,1007.1,2.2,80,3.9,-2.30,0.0
A803,27/05/2018,11,14.9,15.3,14.1,,,,,,,1008.8,1008.8,1007.9,1.5,156,3.8,71.36,0.0
A803,27/05/2018,12,17.4,17.8,14.9,,,,,,,1009.4,1009.5,1008.8,0.9,102,2.5,473.3,0.0
A803,27/05/2018,13,19.4,19.6,17.4,,,,,,,1009.8,1009.8,1009.4,1.9,117,3.5,1191.,0.0
A803,27/05/2018,14,22.3,22.3,19.4,,,,,,,1009.5,1009.9,1009.5,1.8,99,4.2,1604.,0.0
A803,27/05/2018,15,24.1,24.1,21.7,,,,,,,1008.7,1009.5,1008.7,1.6,78,3.7,1456.,0.0
A803,27/05/2018,16,25.1,25.6,24.1,,,,,,,1008.2,1008.7,1008.2,0.7,173,3.6,1912.,0.0
A803,27/05/2018,17,26.4,26.4,25.1,,,,,,,1007.5,1008.2,1007.5,0.9,190,3.4,1670.,0.0